1|2023|4|2499
1|2023|5|2899
1|2023|6|2699
1|2023|7|1999
1|2023|8|1999
1|2023|9|2899
1|2023|10|2399
1|2023|11|1999
2|2023|4|2199
2|2023|5|2899
2|2023|6|2499
2|2023|7|1999
2|2023|8|1999
2|2023|9|3099
2|2023|10|2199
2|2023|11|1999
3|2023|3|1999
3|2023|4|2099
3|2023|5|2899
3|2023|6|2499
3|2023|7|1999
3|2023|8|1999
3|2023|9|3099
3|2023|10|2299
3|2023|11|1999
4|2023|4|4699
4|2023|5|5299
4|2023|6|4499
4|2023|7|4499
4|2023|8|4499
4|2023|9|5299
4|2023|10|4299
4|2023|11|3999
4|2023|12|4299
5|2023|4|4299
5|2023|5|5199
5|2023|6|4799
5|2023|7|4299
5|2023|8|4999
5|2023|9|3799
5|2023|10|3499
5|2023|11|3499
6|2023|5|3999
6|2023|6|3799
6|2023|7|3499
6|2023|8|3499
6|2023|9|3999
6|2023|10|3499
7|2023|5|4299
7|2023|6|3299
7|2023|7|2799
7|2023|8|2799
7|2023|9|3799
7|2023|10|2799
7|2023|11|2299
8|2023|3|2699
8|2023|4|2999
8|2023|5|3399
8|2023|6|3199
8|2023|7|2499
8|2023|8|2499
8|2023|9|3399
8|2023|10|2499
9|2023|4|3399
9|2023|5|3699
9|2023|6|3399
9|2023|7|2699
9|2023|8|2699
9|2023|9|3699
9|2023|10|2699
9|2023|11|2199
10|2023|6|3999
10|2023|7|3599
10|2023|8|3599
10|2023|9|4399
10|2023|10|3199
10|2023|11|3199
11|2023|4|5499
11|2023|5|5699
11|2023|6|5499
11|2023|7|5299
11|2023|8|5299
11|2023|9|5699
11|2023|10|5499
12|2023|3|2999
12|2023|4|3499
12|2023|5|3999
12|2023|6|3699
12|2023|7|3499
12|2023|8|3499
12|2023|9|3999
12|2023|10|3299
12|2023|11|2999
13|2023|3|3699
13|2023|4|3499
13|2023|5|4299
13|2023|6|3999
13|2023|7|3699
13|2023|9|4299
13|2023|10|3599
13|2023|11|2999
14|2023|5|4499
14|2023|6|4499
14|2023|7|3799
14|2023|8|3799
14|2023|9|4999
14|2023|10|3999
14|2023|11|3499
15|2023|5|5799
15|2023|8|5299
15|2023|9|5499
15|2023|10|5999
15|2023|11|6299
15|2023|12|5999
15|2024|1|6499
15|2024|2|6499
15|2024|3|6299
